"File","FilePath","Scope","Kind","Proc","ProcKey","Line"
"002_Служебка для всех рандомов.txt","C:\Users\pavel\OneDrive\Рабочий стол\Codex_venv\Макросы для аудита\Скопированные_документы_из_GoogleDocs\002_Служебка для всех рандомов.txt","Public","Function","RC_IsAllocated","rc_isallocated","32"
"002_Служебка для всех рандомов.txt","C:\Users\pavel\OneDrive\Рабочий стол\Codex_venv\Макросы для аудита\Скопированные_документы_из_GoogleDocs\002_Служебка для всех рандомов.txt","Public","Function","RC_NormalizeSeed","rc_normalizeseed","46"
"002_Служебка для всех рандомов.txt","C:\Users\pavel\OneDrive\Рабочий стол\Codex_venv\Макросы для аудита\Скопированные_документы_из_GoogleDocs\002_Служебка для всех рандомов.txt","Public","Function","RC_PM_Next","rc_pm_next","55"
"002_Служебка для всех рандомов.txt","C:\Users\pavel\OneDrive\Рабочий стол\Codex_venv\Макросы для аудита\Скопированные_документы_из_GoogleDocs\002_Служебка для всех рандомов.txt","Public","Function","RC_PM_Next01","rc_pm_next01","66"
"002_Служебка для всех рандомов.txt","C:\Users\pavel\OneDrive\Рабочий стол\Codex_venv\Макросы для аудита\Скопированные_документы_из_GoogleDocs\002_Служебка для всех рандомов.txt","Public","Sub","RC_ShuffleFY","rc_shufflefy","73"
"002_Служебка для всех рандомов.txt","C:\Users\pavel\OneDrive\Рабочий стол\Codex_venv\Макросы для аудита\Скопированные_документы_из_GoogleDocs\002_Служебка для всех рандомов.txt","Public","Function","RC_RandPick","rc_randpick","85"
"002_Служебка для всех рандомов.txt","C:\Users\pavel\OneDrive\Рабочий стол\Codex_venv\Макросы для аудита\Скопированные_документы_из_GoogleDocs\002_Служебка для всех рандомов.txt","Public","Function","RC_RandPermN","rc_randpermn","118"
"003_Полнота.txt","C:\Users\pavel\OneDrive\Рабочий стол\Codex_venv\Макросы для аудита\Скопированные_документы_из_GoogleDocs\003_Полнота.txt","Public","Sub","Заполнить_Полноту_Журнала_Проводок","заполнить_полноту_журнала_проводок","47"
"003_Полнота.txt","C:\Users\pavel\OneDrive\Рабочий стол\Codex_venv\Макросы для аудита\Скопированные_документы_из_GoogleDocs\003_Полнота.txt","Private","Sub","LogWrite","logwrite","322"
"003_Полнота.txt","C:\Users\pavel\OneDrive\Рабочий стол\Codex_venv\Макросы для аудита\Скопированные_документы_из_GoogleDocs\003_Полнота.txt","Private","Sub","StartStep","startstep","337"
"003_Полнота.txt","C:\Users\pavel\OneDrive\Рабочий стол\Codex_venv\Макросы для аудита\Скопированные_документы_из_GoogleDocs\003_Полнота.txt","Private","Sub","EndStep","endstep","344"
"003_Полнота.txt","C:\Users\pavel\OneDrive\Рабочий стол\Codex_venv\Макросы для аудита\Скопированные_документы_из_GoogleDocs\003_Полнота.txt","Private","Function","NowStr","nowstr","350"
"003_Полнота.txt","C:\Users\pavel\OneDrive\Рабочий стол\Codex_venv\Макросы для аудита\Скопированные_документы_из_GoogleDocs\003_Полнота.txt","Private","Function","FindFirstInColumnExact","findfirstincolumnexact","356"
"003_Полнота.txt","C:\Users\pavel\OneDrive\Рабочий стол\Codex_venv\Макросы для аудита\Скопированные_документы_из_GoogleDocs\003_Полнота.txt","Private","Function","FindFirstBelowInColumnExact","findfirstbelowincolumnexact","372"
"003_Полнота.txt","C:\Users\pavel\OneDrive\Рабочий стол\Codex_venv\Макросы для аудита\Скопированные_документы_из_GoogleDocs\003_Полнота.txt","Private","Function","HeaderSynonyms_Dt","headersynonyms_dt","390"
